ESTADO,MPO_2,UMBRAL,azul_ini,azul_end,verde_ini,verde_end,amarillo_ini,amarillo_end,naranja_ini,naranja_end,rojo_ini
Jalisco,Acatic,76,0,19.0,19.1,38.0,38.1,57.0,57.1,76,76.1
Jalisco,Acatlán de Juárez,81,0,20.25,20.35,40.5,40.6,60.75,60.85,81,81.1
Jalisco,Ahualulco de Mercado,83,0,20.75,20.85,41.5,41.6,62.25,62.35,83,83.1
Jalisco,Amacueca,77,0,19.25,19.35,38.5,38.6,57.75,57.85,77,77.1
Jalisco,Amatitán,87,0,21.75,21.85,43.5,43.6,65.25,65.35,87,87.1
Jalisco,Ameca,82,0,20.5,20.6,41.0,41.1,61.5,61.6,82,82.1
Jalisco,Arandas,77,0,19.25,19.35,38.5,38.6,57.75,57.85,77,77.1
Jalisco,Atemajac de Brizuela,72,0,18.0,18.1,36.0,36.1,54.0,54.1,72,72.1
Jalisco,Atengo,83,0,20.75,20.85,41.5,41.6,62.25,62.35,83,83.1
Jalisco,Atenguillo,86,0,21.5,21.6,43.0,43.1,64.5,64.6,86,86.1
Jalisco,Atotonilco el Alto,80,0,20.0,20.1,40.0,40.1,60.0,60.1,80,80.1
Jalisco,Atoyac,70,0,17.5,17.6,35.0,35.1,52.5,52.6,70,70.1
Jalisco,Autlán de Navarro,97,0,24.25,24.35,48.5,48.6,72.75,72.85,97,97.1
Jalisco,Ayotlán,78,0,19.5,19.6,39.0,39.1,58.5,58.6,78,78.1
Jalisco,Ayutla,88,0,22.0,22.1,44.0,44.1,66.0,66.1,88,88.1
Jalisco,Bolaños,70,0,17.5,17.6,35.0,35.1,52.5,52.6,70,70.1
Jalisco,Cabo Corrientes,160,0,40.0,40.1,80.0,80.1,120.0,120.1,160,160.1
Jalisco,Cañadas de Obregón,72,0,18.0,18.1,36.0,36.1,54.0,54.1,72,72.1
Jalisco,Casimiro Castillo,134,0,33.5,33.6,67.0,67.1,100.5,100.6,134,134.1
Jalisco,Chapala,83,0,20.75,20.85,41.5,41.6,62.25,62.35,83,83.1
Jalisco,Chimaltitán,71,0,17.75,17.85,35.5,35.6,53.25,53.35,71,71.1
Jalisco,Chiquilistlán,80,0,20.0,20.1,40.0,40.1,60.0,60.1,80,80.1
Jalisco,Cihuatlán,84,0,21.0,21.1,42.0,42.1,63.0,63.1,84,84.1
Jalisco,Cocula,81,0,20.25,20.35,40.5,40.6,60.75,60.85,81,81.1
Jalisco,Colotlán,69,0,17.25,17.35,34.5,34.6,51.75,51.85,69,69.1
Jalisco,Concepción de Buenos Aires,73,0,18.25,18.35,36.5,36.6,54.75,54.85,73,73.1
Jalisco,Cuautitlán de García Barragán,138,0,34.5,34.6,69.0,69.1,103.5,103.6,138,138.1
Jalisco,Cuautla,85,0,21.25,21.35,42.5,42.6,63.75,63.85,85,85.1
Jalisco,Cuquío,76,0,19.0,19.1,38.0,38.1,57.0,57.1,76,76.1
Jalisco,Degollado,76,0,19.0,19.1,38.0,38.1,57.0,57.1,76,76.1
Jalisco,Ejutla,91,0,22.75,22.85,45.5,45.6,68.25,68.35,91,91.1
Jalisco,El Arenal,87,0,21.75,21.85,43.5,43.6,65.25,65.35,87,87.1
Jalisco,El Grullo,93,0,23.25,23.35,46.5,46.6,69.75,69.85,93,93.1
Jalisco,El Limón,97,0,24.25,24.35,48.5,48.6,72.75,72.85,97,97.1
Jalisco,El Salto,83,0,20.75,20.85,41.5,41.6,62.25,62.35,83,83.1
Jalisco,Encarnación de Díaz,69,0,17.25,17.35,34.5,34.6,51.75,51.85,69,69.1
Jalisco,Etzatlán,86,0,21.5,21.6,43.0,43.1,64.5,64.6,86,86.1
Jalisco,Gómez Farías,79,0,19.75,19.85,39.5,39.6,59.25,59.35,79,79.1
