,estacion,link,localidad,temp_C,razon_lluvia,HR,vel_viento,racha_viento,acum_calc,letra_dir,REGIÓN_2,MPO_2,REF
0,IENCAR2,https://www.wunderground.com/dashboard/pws/IENCAR2,"Encarnación de Díaz, MX",18.000000000000004,0.0,38,13.354700000000001,16.5727,0.0,SW,ALTOS NORTE,Encarnación de Díaz,Localidad El codo
2,ISANJU139,https://www.wunderground.com/dashboard/pws/ISANJU139,"San Juan de los Lagos, MX",19.444444444444443,0.0,42,9.654,19.308,0.0,NE,ALTOS NORTE,San Juan de los Lagos,Base 08
4,ITEOCA2,https://www.wunderground.com/dashboard/pws/ITEOCA2,"Teocaltiche, MX",17.72222222222222,0.0,38,14.8028,19.147100000000002,0.0,NE,ALTOS NORTE,Teocaltiche,Localidad San Bernardo
5,ILAGOS78,https://www.wunderground.com/dashboard/pws/ILAGOS78,"Lagos de Moreno, MX",19.333333333333332,0.0,36,5.7924,7.2405,0.0,NNE,ALTOS NORTE,Lagos de Moreno,Parque Industrial
6,ILAGOS80,https://www.wunderground.com/dashboard/pws/ILAGOS80,"Lagos de Moreno, MX",20.38888888888889,0.0,29,3.8615999999999997,3.8615999999999997,0.0,ENE,ALTOS NORTE,Lagos de Moreno,CULAGOS
7,IARAND7,https://www.wunderground.com/dashboard/pws/IARAND7,"Arandas, MX",17.27777777777778,0.0,48,2.0917,3.5398,0.0,NNE,ALTOS SUR,Arandas,Centro
9,ITEPAT5,https://www.wunderground.com/dashboard/pws/ITEPAT5,"Tepatitlán de Morelos Municipality, MX",18.22222222222222,0.0,38,17.2163,22.0433,0.0,ENE,ALTOS SUR,Tepatitlán de Morelos,Rancho Gomez Franco
10,ISANTA1289,https://www.wunderground.com/dashboard/pws/ISANTA1289,"Santa María del Valle, MX",20.27777777777778,0.0,10,0.0,0.0,0.0,SSE,ALTOS SUR,Arandas,Localidad Santa Maria del Valle
11,IARAND35,https://www.wunderground.com/dashboard/pws/IARAND35,"Arandas, MX",18.111111111111107,0.0,44,4.6661,7.2405,0.0,N,ALTOS SUR,Arandas,Localidad Santa Maria del Nopal
12,ICHAPALA2,https://www.wunderground.com/dashboard/pws/ICHAPALA2,"Chapala, MX",23.111111111111107,0.0,40,0.0,9.654,0.0,ENE,CENTRO,Ixtlahuacán de los Membrillos,Brisas de Chapala
13,IGUADALA32,https://www.wunderground.com/dashboard/pws/IGUADALA32,"Guadalajara Municipality, MX",23.77777777777778,0.0,33,8.045,11.263,0.0,NNW,CENTRO,Guadalajara,Country Club
14,IGUADA112,https://www.wunderground.com/dashboard/pws/IGUADA112,"Guadalajara, MX",21.11111111111111,0.0,31,6.436,20.917,0.0,E,CENTRO,Guadalajara,Base Central
16,IGUADA147,https://www.wunderground.com/dashboard/pws/IGUADA147,"Guadalajara, MX",23.277777777777782,,40,5.9533000000000005,,0.0,WNW,CENTRO,Guadalajara,Jardines de la Cruz
17,ILOSGA1,https://www.wunderground.com/dashboard/pws/ILOSGA1,"Los Gavilanes, MX",20.500000000000004,0.0,38,8.688600000000001,14.8028,0.0,E,CENTRO,Tlajomulco de Zúñiga,La Rioja
18,INEXTI1,https://www.wunderground.com/dashboard/pws/INEXTI1,"Nextipac, MX",18.277777777777782,0.0,30,4.827,20.917,0.0,E,CENTRO,Zapopan,Nextipac
