,estacion,link,localidad,temp_C,razon_lluvia,HR,vel_viento,racha_viento,acum_calc,letra_dir,REGIÓN_2,MPO_2,REF,INSTITUCION
1,IAJIJI6,https://www.wunderground.com/dashboard/pws/IAJIJI6,Ajijic,19.9,,89.0,1.8,4.3,0.0,NW,SURESTE,Chapala,Ajijic,priv
2,IAMACU2,https://www.wunderground.com/dashboard/pws/IAMACU2,Amacueca,19.1,0.74,97.0,1.6,4.5,81.94,NW,LAGUNAS,Amacueca,Amacueca,SEMADET
3,IAMACU3,https://www.wunderground.com/dashboard/pws/IAMACU3,Amacueca,18.4,0.3,99.0,3.1,4.8,37.27,N,LAGUNAS,Amacueca,Localidad de Tepec,SEMADET
4,IAMECA1,https://www.wunderground.com/dashboard/pws/IAMECA1,Ameca,22.9,0.0,78.0,8.0,22.5,0.0,ENE,VALLES,Ameca,UMPC,UEPCB
5,IARAND35,https://www.wunderground.com/dashboard/pws/IARAND35,Arandas,17.8,0.0,82.0,0.0,0.0,0.0,SE,ALTOS SUR,Arandas,Santa Maria del Nopal,GEOSMET
6,IARAND7,https://www.wunderground.com/dashboard/pws/IARAND7,Arandas,17.2,0.0,80.0,4.0,11.2,0.0,NE,ALTOS SUR,Arandas,Centro,GEOSMET
7,IATEMA1,https://www.wunderground.com/dashboard/pws/IATEMA1,Atemajac de Brizuela,15.0,0.03,92.0,9.2,13.2,0.71,S,LAGUNAS,Atemajac de Brizuela,Atemajac,SEMADET
8,IATENG1,https://www.wunderground.com/dashboard/pws/IATENG1,Atenguillo,21.0,0.0,90.0,4.2,6.4,0.97,SW,SIERRA COSTA-OCCIDEN,Atenguillo,Centro,SEMADET
9,IATENG2,https://www.wunderground.com/dashboard/pws/IATENG2,Atengo,20.4,0.0,89.0,0.0,0.0,0.0,E,SIERRA DE AMULA,Atengo,Atengo,SEMADET
10,IATOTO2,https://www.wunderground.com/dashboard/pws/IATOTO2,Atotonilco el Alto,18.1,0.0,84.0,0.0,0.0,0.0,SSE,CIENEGA,Atotonilco el Alto,San Francisco de Asís,GEOSMET
12,IAUTLN1,https://www.wunderground.com/dashboard/pws/IAUTLN1,Autlán de Navarro,14.0,0.0,99.0,15.1,16.6,6.6000000000000005,NNW,SIERRA DE AMULA,Autlán de Navarro,Cerro El Jalocote,UEPCB
13,IAUTLN2,https://www.wunderground.com/dashboard/pws/IAUTLN2,Autlán de Navarro,22.9,0.0,85.0,6.4,12.9,0.0,NW,SIERRA DE AMULA,Autlán de Navarro,UMPC,UMPC AUTLÁN
14,IAUTLN3,https://www.wunderground.com/dashboard/pws/IAUTLN3,Autlán de Navarro,23.1,0.0,86.0,0.6,3.4,0.9599999999999996,N,SIERRA DE AMULA,Autlán de Navarro,Valle del Vergel,SEMADET
15,IAUTLN4,https://www.wunderground.com/dashboard/pws/IAUTLN4,Autlán de Navarro,21.6,0.0,95.0,0.0,0.0,0.0,NW,SIERRA DE AMULA,Autlán de Navarro,Yerbabuena,SEMADET
16,IAUTLN5,https://www.wunderground.com/dashboard/pws/IAUTLN5,Autlán de Navarro,22.3,0.0,88.0,0.5,3.2,1.3300000000000003,SW,SIERRA DE AMULA,Autlán de Navarro,El Mentidero,SEMADET
18,ICABOC2,https://www.wunderground.com/dashboard/pws/ICABOC2,Cabo Corrientes,24.8,0.0,98.0,0.0,0.0,4.88,NNE,SIERRA COSTA-OCCIDEN,Cabo Corrientes,Playa Yelapa,priv
20,ICABOC4,https://www.wunderground.com/dashboard/pws/ICABOC4,Cabo Corrientes,25.2,0.05,94.0,1.0,5.1,19.38,NNE,SIERRA COSTA-OCCIDEN,Cabo Corrientes,Ipala,SEMADET
21,ICABOC5,https://www.wunderground.com/dashboard/pws/ICABOC5,Cabo Corrientes,22.9,0.0,90.0,2.4,9.2,2.87,NE,SIERRA COSTA-OCCIDEN,Cabo Corrientes,El Refugio Suchitlán,SEMADET
23,ICAMPE49,https://www.wunderground.com/dashboard/pws/ICAMPE49,Campestre las Palomas,21.2,0.0,79.0,1.6,11.3,4.06,S,CENTRO,Zapopan,Los Molinos,priv
24,ICHAPA18,https://www.wunderground.com/dashboard/pws/ICHAPA18,Chapala,20.7,0.0,90.0,9.7,11.1,11.2,WSW,SURESTE,Chapala,Chapala,priv
25,ICHAPA21,https://www.wunderground.com/dashboard/pws/ICHAPA21,Chapala,19.4,,99.0,0.0,6.4,2.79,SSW,SURESTE,Chapala,Fracc. Chapala Haciendas,priv
26,ICHAPALA2,https://www.wunderground.com/dashboard/pws/ICHAPALA2,Brisas de Chapala,18.5,,99.0,0.0,0.0,0.0,NNE,CENTRO,Ixtlahuacán de los Membrillos,Brisas de Chapala,priv
28,ICIHUA1,https://www.wunderground.com/dashboard/pws/ICIHUA1,Cihuatlán,27.6,,94.0,0.0,3.2,0.0,NNW,COSTA SUR,Cihuatlán,Base 02,UEPCB
29,ICIHUA4,https://www.wunderground.com/dashboard/pws/ICIHUA4,Cihuatlán,26.0,,90.0,1.1,4.5,0.0,NW,COSTA SUR,Cihuatlán,UMPC,SEMADET
