estacion,links,latitud,longitud,direccion/ubicacion aproximada,REGIÓN_2,MPO_2,REF
IENCAR2,https://www.wunderground.com/dashboard/pws/IENCAR2,21.75,-102.1,Encarnación de Díaz al norte de la localidad El Codo,ALTOS NORTE,Encarnación de Díaz,Localidad El codo
ILAGOS33,https://www.wunderground.com/dashboard/pws/ILAGOS33,21.26,-101.94,Lagos de Moreno al cerca del Aeropuerto Lagos de Moreno,ALTOS NORTE,Lagos de Moreno,Aeropuerto
ISANJU139,https://www.wunderground.com/dashboard/pws/ISANJU139,21.24,-102.32,"San Juan de los Lagos, base regional 08 UEPCB",ALTOS NORTE,San Juan de los Lagos,Base 08
IVILLA282,https://www.wunderground.com/dashboard/pws/IVILLA282,21.69,-102.6,"Villa Hidalgo, cerca de la localidad Los Garcia",ALTOS NORTE,Villa Hidalgo,Localidad Los Garcia 2
ITEOCA2,https://www.wunderground.com/dashboard/pws/ITEOCA2,21.64,-102.4,Norte de la localidad de San Bernardo en el municipio de Teocaltiche,ALTOS NORTE,Teocaltiche,Localidad San Bernardo
ILAGOS78,https://www.wunderground.com/dashboard/pws/ILAGOS78,21.393,-101.886,Parque Industrial Lagos de Moreno,ALTOS NORTE,Lagos de Moreno,Parque Industrial
ILAGOS80,https://www.wunderground.com/dashboard/pws/ILAGOS80,21.359,-101.948,"Lagos de Moreno, al Noreste de CULAGOS",ALTOS NORTE,Lagos de Moreno,CULAGOS
IARAND7,https://www.wunderground.com/dashboard/pws/IARAND7,20.71,-102.34,"Arandas, Col. Centro",ALTOS SUR,Arandas,Centro
IJESSM4,https://www.wunderground.com/dashboard/pws/IJESSM4,20.6,-102.18,Jesús María al Norte del Rancho La Trinidad,ALTOS SUR,Jesús María,Rancho La Trinidad
ITEPAT5,https://www.wunderground.com/dashboard/pws/ITEPAT5,20.83,-102.69,Tepatitlán de Morelos al Este de Fracc. Juan Pablo II,ALTOS SUR,Tepatitlán de Morelos,Rancho Gomez Franco
ISANTA1289,https://www.wunderground.com/dashboard/pws/ISANTA1289,20.88,-102.38,Localidad de Santa Maria del Valle en el municipio de Arandas,ALTOS SUR,Arandas,Localidad Santa Maria del Valle
IARAND35,https://www.wunderground.com/dashboard/pws/IARAND35,20.72,-102.41,"Noroeste de la localidad Santa Maria del nopal, en el municipio de Arandas",ALTOS SUR,Arandas,Localidad Santa Maria del Nopal
ICHAPALA2,https://www.wunderground.com/dashboard/pws/ICHAPALA2,20.33,-103.2,Ixtlahuacán de los Membrillos al norte del Fracc. Brisas de Chapala,CENTRO,Ixtlahuacán de los Membrillos,Brisas de Chapala
