,estacion,link,localidad,latitud,longitud,temp_C,lluvia_acumulada_mm,razon_lluvia,HR,vel_viento,dir_viento,racha_viento,letra_dir,acum_calc,lluvia_1hr_calc,intensidad_lluvia,REGIÓN_2,MPO_2,UMBRAL,azul_ini,azul_end,verde_ini,verde_end,amarillo_ini,amarillo_end,naranja_ini,naranja_end,rojo_ini
0,IAGUAS12,https://www.wunderground.com/dashboard/pws/IAGUAS12,Aguascalientes,21.765629,-102.105282,16.4,0.0,0.0,87.0,3.6,65.0,4.0,ENE,0.0,0.0,5,,,,,,,,,,,,
1,IAJIJI6,https://www.wunderground.com/dashboard/pws/IAJIJI6,Ajijic,20.301,-103.274,19.9,,,89.0,1.8,314.0,4.3,NW,0.0,0.0,5,SURESTE,Chapala,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
2,IAMACU2,https://www.wunderground.com/dashboard/pws/IAMACU2,Amacueca,20.008899,-103.596279,19.1,81.94,0.74,97.0,1.6,320.0,4.5,NW,81.94,0.0,1,LAGUNAS,Amacueca,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
3,IAMACU3,https://www.wunderground.com/dashboard/pws/IAMACU3,Amacueca,19.99036,-103.640905,18.4,37.27,0.3,99.0,3.1,1.0,4.8,N,37.27,0.0,5,LAGUNAS,Amacueca,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
4,IAMECA1,https://www.wunderground.com/dashboard/pws/IAMECA1,Ameca,20.555,-104.046,22.9,0.0,0.0,78.0,8.0,76.0,22.5,ENE,0.0,0.0,5,VALLES,Ameca,82.0,0.0,20.5,20.6,41.0,41.1,61.5,61.6,82.0,82.1
5,IARAND35,https://www.wunderground.com/dashboard/pws/IARAND35,Arandas,20.720326,-102.407057,17.8,0.0,0.0,82.0,0.0,140.0,0.0,SE,0.0,0.0,5,ALTOS SUR,Arandas,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
6,IARAND7,https://www.wunderground.com/dashboard/pws/IARAND7,Arandas,20.710783,-102.343018,17.2,0.0,0.0,80.0,4.0,56.0,11.2,NE,0.0,0.0,5,ALTOS SUR,Arandas,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
7,IATEMA1,https://www.wunderground.com/dashboard/pws/IATEMA1,Atemajac de Brizuela,20.140156,-103.720474,15.0,0.77,0.03,92.0,9.2,184.0,13.2,S,0.71,0.0,5,LAGUNAS,Atemajac de Brizuela,72.0,0.0,18.0,18.1,36.0,36.1,54.0,54.1,72.0,72.1
8,IATENG1,https://www.wunderground.com/dashboard/pws/IATENG1,Atenguillo,20.415056,-104.493728,21.0,0.97,0.0,90.0,4.2,234.0,6.4,SW,0.97,0.0,5,SIERRA COSTA-OCCIDEN,Atenguillo,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
9,IATENG2,https://www.wunderground.com/dashboard/pws/IATENG2,Atengo,20.275,-104.238,20.4,0.3,0.0,89.0,0.0,92.0,0.0,E,0.0,0.0,5,SIERRA DE AMULA,Atengo,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
10,IATOTO2,https://www.wunderground.com/dashboard/pws/IATOTO2,Atotonilco el Alto,20.582461,-102.562417,18.1,0.0,0.0,84.0,0.0,148.0,0.0,SSE,0.0,0.0,5,CIENEGA,Atotonilco el Alto,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
11,IATOYA3,https://www.wunderground.com/dashboard/pws/IATOYA3,,,,,,,,,,,,0.0,0.0,5,LAGUNAS,Teocuitatlán de Corona,71.0,0.0,17.75,17.85,35.5,35.6,53.25,53.35,71.0,71.1
12,IAUTLN1,https://www.wunderground.com/dashboard/pws/IAUTLN1,Autlán de Navarro,19.831028,-104.43118,14.0,7.11,0.0,99.0,15.1,333.0,16.6,NNW,6.6000000000000005,0.0,5,SIERRA DE AMULA,Autlán de Navarro,97.0,0.0,24.25,24.35,48.5,48.6,72.75,72.85,97.0,97.1
13,IAUTLN2,https://www.wunderground.com/dashboard/pws/IAUTLN2,Autlán de Navarro,19.776,-104.36,22.9,0.0,0.0,85.0,6.4,326.0,12.9,NW,0.0,0.0,5,SIERRA DE AMULA,Autlán de Navarro,97.0,0.0,24.25,24.35,48.5,48.6,72.75,72.85,97.0,97.1
14,IAUTLN3,https://www.wunderground.com/dashboard/pws/IAUTLN3,Autlán de Navarro,19.752766,-104.364941,23.1,1.96,0.0,86.0,0.6,6.0,3.4,N,0.9599999999999996,0.0,5,SIERRA DE AMULA,Autlán de Navarro,97.0,0.0,24.25,24.35,48.5,48.6,72.75,72.85,97.0,97.1
15,IAUTLN4,https://www.wunderground.com/dashboard/pws/IAUTLN4,Autlán de Navarro,19.667,-104.236,21.6,0.2,0.0,95.0,0.0,320.0,0.0,NW,0.0,0.0,5,SIERRA DE AMULA,Autlán de Navarro,97.0,0.0,24.25,24.35,48.5,48.6,72.75,72.85,97.0,97.1
16,IAUTLN5,https://www.wunderground.com/dashboard/pws/IAUTLN5,Autlán de Navarro,19.756,-104.282,22.3,2.2,0.0,88.0,0.5,217.0,3.2,SW,1.3300000000000003,0.0,5,SIERRA DE AMULA,Autlán de Navarro,97.0,0.0,24.25,24.35,48.5,48.6,72.75,72.85,97.0,97.1
17,IAYUTL1,https://www.wunderground.com/dashboard/pws/IAYUTL1,,,,,,,,,,,,0.0,0.0,5,SIERRA DE AMULA,Ayutla,88.0,0.0,22.0,22.1,44.0,44.1,66.0,66.1,88.0,88.1
18,ICABOC2,https://www.wunderground.com/dashboard/pws/ICABOC2,Cabo Corrientes,20.487531,-105.443492,24.8,5.59,0.0,98.0,0.0,21.0,0.0,NNE,4.88,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
19,ICABOC3,https://www.wunderground.com/dashboard/pws/ICABOC3,,,,,,,,,,,,0.0,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
20,ICABOC4,https://www.wunderground.com/dashboard/pws/ICABOC4,Cabo Corrientes,20.221,-105.548,25.2,19.38,0.05,94.0,1.0,27.0,5.1,NNE,19.38,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
21,ICABOC5,https://www.wunderground.com/dashboard/pws/ICABOC5,Cabo Corrientes,20.44352,-105.5457,22.9,4.62,0.0,90.0,2.4,46.0,9.2,NE,2.87,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
22,ICABOC6,https://www.wunderground.com/dashboard/pws/ICABOC6,,,,,,,,,,,,25.91,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
